2026-06-12 15:05:36,294 | INFO     | app.services.data_service | req=- user=- | DataService: registered adapter 'csv'
2026-06-12 15:05:36,295 | INFO     | app.services.data_service | req=- user=- | DataService: registered adapter 'dremio'
2026-06-12 15:05:36,295 | INFO     | app.services.data_service | req=- user=- | DataService: registered adapter 'sqlserver'
2026-06-12 15:05:36,295 | INFO     | app.services.reporting_service | req=- user=- | ReportingService initialised (primary adapter: csv)
2026-06-12 15:05:36,303 | INFO     | app | req=- user=- | Application created with config: development
2026-06-12 15:05:36,303 | INFO     | __main__ | req=- user=- | Starting WF Enterprise Analytics on http://localhost:5000 [development]
2026-06-12 15:05:36,333 | WARNING  | werkzeug | req=- user=- |  * Debugger is active!
2026-06-12 15:05:44,210 | INFO     | app.services.data_service | req=- user=- | DataService: registered adapter 'csv'
2026-06-12 15:05:44,210 | INFO     | app.services.data_service | req=- user=- | DataService: registered adapter 'dremio'
2026-06-12 15:05:44,210 | INFO     | app.services.data_service | req=- user=- | DataService: registered adapter 'sqlserver'
2026-06-12 15:05:44,211 | INFO     | app.services.reporting_service | req=- user=- | ReportingService initialised (primary adapter: csv)
2026-06-12 15:05:44,219 | INFO     | app | req=- user=- | Application created with config: development
2026-06-12 15:05:44,219 | INFO     | __main__ | req=- user=- | Starting WF Enterprise Analytics on http://localhost:5000 [development]
2026-06-12 15:05:44,249 | WARNING  | werkzeug | req=- user=- |  * Debugger is active!
2026-06-12 15:05:51,827 | INFO     | app.services.data_service | req=- user=- | DataService: registered adapter 'csv'
2026-06-12 15:05:51,828 | INFO     | app.services.data_service | req=- user=- | DataService: registered adapter 'dremio'
2026-06-12 15:05:51,828 | INFO     | app.services.data_service | req=- user=- | DataService: registered adapter 'sqlserver'
2026-06-12 15:05:51,828 | INFO     | app.services.reporting_service | req=- user=- | ReportingService initialised (primary adapter: csv)
2026-06-12 15:05:51,836 | INFO     | app | req=- user=- | Application created with config: development
2026-06-12 15:05:51,836 | INFO     | __main__ | req=- user=- | Starting WF Enterprise Analytics on http://localhost:5000 [development]
2026-06-12 15:05:51,866 | WARNING  | werkzeug | req=- user=- |  * Debugger is active!
2026-06-12 15:05:54,867 | INFO     | app.services.data_service | req=- user=- | DataService: registered adapter 'csv'
2026-06-12 15:05:54,868 | INFO     | app.services.data_service | req=- user=- | DataService: registered adapter 'dremio'
2026-06-12 15:05:54,868 | INFO     | app.services.data_service | req=- user=- | DataService: registered adapter 'sqlserver'
2026-06-12 15:05:54,868 | INFO     | app.services.reporting_service | req=- user=- | ReportingService initialised (primary adapter: csv)
2026-06-12 15:05:54,876 | INFO     | app | req=- user=- | Application created with config: development
2026-06-12 15:05:54,876 | INFO     | __main__ | req=- user=- | Starting WF Enterprise Analytics on http://localhost:5000 [development]
2026-06-12 15:05:54,904 | WARNING  | werkzeug | req=- user=- |  * Debugger is active!
2026-06-12 15:06:02,483 | INFO     | app.services.data_service | req=- user=- | DataService: registered adapter 'csv'
2026-06-12 15:06:02,484 | INFO     | app.services.data_service | req=- user=- | DataService: registered adapter 'dremio'
2026-06-12 15:06:02,484 | INFO     | app.services.data_service | req=- user=- | DataService: registered adapter 'sqlserver'
2026-06-12 15:06:02,484 | INFO     | app.services.reporting_service | req=- user=- | ReportingService initialised (primary adapter: csv)
2026-06-12 15:06:02,492 | INFO     | app | req=- user=- | Application created with config: development
2026-06-12 15:06:02,492 | INFO     | __main__ | req=- user=- | Starting WF Enterprise Analytics on http://localhost:5000 [development]
2026-06-12 15:06:02,521 | WARNING  | werkzeug | req=- user=- |  * Debugger is active!
2026-06-12 15:06:39,123 | INFO     | app.services.data_service | req=- user=- | DataService: registered adapter 'csv'
2026-06-12 15:06:39,123 | INFO     | app.services.data_service | req=- user=- | DataService: registered adapter 'dremio'
2026-06-12 15:06:39,123 | INFO     | app.services.data_service | req=- user=- | DataService: registered adapter 'sqlserver'
2026-06-12 15:06:39,124 | INFO     | app.services.reporting_service | req=- user=- | ReportingService initialised (primary adapter: csv)
2026-06-12 15:06:39,132 | INFO     | app | req=- user=- | Application created with config: development
2026-06-12 15:06:39,132 | INFO     | __main__ | req=- user=- | Starting WF Enterprise Analytics on http://localhost:5000 [development]
2026-06-12 15:06:39,161 | WARNING  | werkzeug | req=- user=- |  * Debugger is active!
2026-06-12 15:07:00,949 | INFO     | app.services.data_service | req=- user=- | DataService: registered adapter 'csv'
2026-06-12 15:07:00,950 | INFO     | app.services.data_service | req=- user=- | DataService: registered adapter 'dremio'
2026-06-12 15:07:00,950 | INFO     | app.services.data_service | req=- user=- | DataService: registered adapter 'sqlserver'
2026-06-12 15:07:00,950 | INFO     | app.services.reporting_service | req=- user=- | ReportingService initialised (primary adapter: csv)
2026-06-12 15:07:00,959 | INFO     | app | req=- user=- | Application created with config: development
2026-06-12 15:07:00,959 | INFO     | __main__ | req=- user=- | Starting WF Enterprise Analytics on http://localhost:5000 [development]
2026-06-12 15:07:00,988 | WARNING  | werkzeug | req=- user=- |  * Debugger is active!
2026-06-12 15:07:06,298 | INFO     | app.services.data_service | req=- user=- | DataService: registered adapter 'csv'
2026-06-12 15:07:06,298 | INFO     | app.services.data_service | req=- user=- | DataService: registered adapter 'dremio'
2026-06-12 15:07:06,299 | INFO     | app.services.data_service | req=- user=- | DataService: registered adapter 'sqlserver'
2026-06-12 15:07:06,299 | INFO     | app.services.reporting_service | req=- user=- | ReportingService initialised (primary adapter: csv)
2026-06-12 15:07:06,307 | INFO     | app | req=- user=- | Application created with config: development
2026-06-12 15:07:06,307 | INFO     | __main__ | req=- user=- | Starting WF Enterprise Analytics on http://localhost:5000 [development]
2026-06-12 15:07:06,336 | WARNING  | werkzeug | req=- user=- |  * Debugger is active!
